"";"date";"vac1";"vac2";"vac3"
"190";2021-07-09;27045;0;0
"191";2021-07-10;4148;0;0
"192";2021-07-11;2968;0;0
"193";2021-07-12;13200;0;0
"194";2021-07-13;23718;0;0
"195";2021-07-14;48503;0;0
"196";2021-07-15;43059;0;0
"197";2021-07-16;16404;0;0
"198";2021-07-17;479;0;0
"199";2021-07-18;289;0;0
"200";2021-07-19;8981;0;0
"201";2021-07-20;21651;0;0
"202";2021-07-21;65362;0;0
"203";2021-07-22;68091;0;0
"204";2021-07-23;21727;0;0
"205";2021-07-24;139;0;0
"206";2021-07-25;63;0;0
"207";2021-07-26;8755;0;0
"208";2021-07-27;21437;0;0
"209";2021-07-28;67959;0;0
"210";2021-07-29;67226;0;0
"211";2021-07-30;21774;0;0
"212";2021-07-31;411;0;0
"213";2021-08-01;51;0;0
"214";2021-08-02;9204;0;0
"215";2021-08-03;15429;0;0
"216";2021-08-04;41920;0;0
"217";2021-08-05;35914;0;0
"218";2021-08-06;10552;0;0
"219";2021-08-07;243;0;0
"220";2021-08-08;71;0;0
"221";2021-08-09;3012;0;0
"222";2021-08-10;7092;0;0
"223";2021-08-11;21434;0;0
"224";2021-08-12;18644;0;0
"225";2021-08-13;5716;0;0
"226";2021-08-14;251;0;0
"227";2021-08-15;59;0;0
"228";2021-08-16;2292;0;0
"229";2021-08-17;4424;0;0
"230";2021-08-18;11157;0;0
"231";2021-08-19;9876;0;0
"232";2021-08-20;4912;0;0
"233";2021-08-21;345;0;0
"234";2021-08-22;110;0;0
"235";2021-08-23;2257;0;0
"236";2021-08-24;5300;0;0
"237";2021-08-25;12189;0;0
"238";2021-08-26;13460;0;0
"239";2021-08-27;8801;0;0
"240";2021-08-28;2329;0;0
"241";2021-08-29;157;0;0
"242";2021-08-30;8780;0;0
"243";2021-08-31;8637;0;0
